channel,category,description
UCYO_jab_esuFRV4b17AJtAw,education,3Blue1Brown - Math/Visuals (EN)
UCsBjURrPoezykLs9EqgamOA,tech,Fireship - Programming/Development (EN)
UCbfYPyITQ-7l4upoX8nvctg,ai,Two Minute Papers - AI Research (EN)
UCfzlCWGWYyIQ0aLC5w48gBQ,programming,Sentdex - Python/ML (EN)
UCSHZKyawb77ixDdsGog4iWA,podcast,Lex Fridman - AI/Technology (EN)
UC9-y-6csu5WGm29I7JiwpnA,computer_science,Computerphile - CS Concepts (EN)
UC6nSFpj9HTCZ5t-N3Rm3-HA,science,Vsauce - Curiosity/Science (EN)
UCHnyfMqiRRG1u-2MsSQLbXA,science,Veritasium - Science/Physics (EN)
UCoxcjq-8xIDTYp3uz647V5A,mathematics,Numberphile - Mathematics (EN)
UCX6OQ3DkcsbYNE6H8uQQuVA,entertainment,MrBeast - Challenges/Stunts (EN)
UC-lHJZR3Gqxm24_Vd_AJ5Yw,entertainment,PewDiePie - Gaming/Culture (EN)
UCY6vXFfM-wV7996_j9V-vQA,gaming,FaviJ TV - Gaming (IT)
UCH-y44M0pvwaZx2rTq0rJoQ,science,Barbascura X - Nature/Satire (IT)
UC4V3oCikXeSqYQr0hBMARwg,news,Breaking Italy - Current Affairs (IT)
UCB0N6K7e7W6A2-Mv_m6D_pA,gaming,MikeShowSha - Gaming/Vlog (IT)
UCsXVk37bltlynkqhJD60W0A,science,Kurzgesagt - Science Animations (EN)
UCba0qoKoH94_H_A5UfG_NWw,engineering,Mark Rober - Engineering (EN)
UCWeg2Pkate69NFdBeuRFTAw,entertainment,Squeezie - Vlogs/Games (FR)
UCvJ5uUz28f_0xIn7Eos5_6w,gaming,elrubiusOMG - Gaming/Comedy (ES)
UCo8bcnLyZH8tBIH9V1MLgqQ,tech,MKBHD - Tech Reviews (EN)
UCXuqSBlHAE6Xw-yeJA0Tunw,tech,Linus Tech Tips - PC Hardware (EN)
UCRX7m99G01O_00kY74vJjSg,animation,Scottecs (Sio) - Cartoons (IT)
UCFkvx6kRFInCwa3i9DfFapg,gaming,CiccioGamer89 - Gaming (IT)
UCupUzSInY-3jXQz3-oIun7g,commentary,Yotobi - Movie/Game Satire (IT)
UCp68_LnfX7U0E19X2vM2D7A,travel,Human Safari - Travel Vlogs (IT)
UCYVInm-RrcN67U0T9B5XF6w,kids,Me Contro Te - Family Fun (IT)
UCbCmjCuTUZos6Inko4u57UQ,kids,Cocomelon - Nursery Rhymes (EN)
UCq-Fj5jknLsUf-MWSy4_brA,music,T-Series - Music/Movies (HI)
UC0v-p_p_H6RmA-uD8D905Xg,tech,Mrwhosetheboss - Smartphones (EN)
UC8rj-pYAnYp73L9U22OswRA,science,Dario Bressanini - Chemistry (IT)
UC2C_jShtL725hvbm1arSV9w,cooking,Tasty - Short Recipes (EN)
UCpEhnqL0y41EpW2TvWAHD7Q,entertainment,SET India - TV Shows (HI)
UCJ5v_MCY6GNUBTO8-D3XoAg,sports,WWE - Wrestling (EN)
UCOmHUn--16B90oW2L6FRR3A,fashion,Safiya Nygaard - Style/Beauty (EN)
UC6XvVneD66_eOkN6L-TjPtg,automotive,Engineering Explained - Cars (EN)
UChvA0vFidS8at6L89Iay9Pw,education,Khan Academy - Learning (EN)
UCsooa4yRKGN_zEE8iknghZA,science,SmarterEveryDay - Science/SlowMo (EN)
UCNIuvl7V8zACPpTHeLqZ28g,tech,Unbox Therapy - Tech Unboxing (EN)
UCHak6Cyeg6236_976_H2p3Q,history,The Great War - World War I (EN)
UCR9sE_F_k5p3SpsS8w_uDjg,travel,Drew Binsky - World Travel (EN)
UCbfkG5f6h8N6K3S-3S8_uDw,tech,iJustine - Apple/Tech (EN)
UCOGe_S9N_0tO7UvM58mS6sg,finance,Graham Stephan - Investing (EN)
UC4_syL86-63_L745I90H63A,cooking,Babish Culinary Universe - Cooking (EN)
UC0uVZd8En7S6_N2S6S7G83A,gaming,Jacksepticeye - Gaming (EN)
UC7_YxT-KID8CcEtgqSy7p3Q,gaming,Markiplier - Gaming/Horror (EN)
UCG8rbF3g2AMX70yOd8vqIZg,philosophy,The School of Life - Mental Health (EN)
UCm9K6rby98W8JigLoZOh6FQ,vlog,Casey Neistat - Storytelling (EN)
UCC552Sd-3nyi_tk2BudLUzA,gaming,AuronPlay - Comedy Gaming (ES)
UCX6-mG-1XyY-UvE0mX8j5vA,entertainment,Felipe Neto - Vlogs (PT)
UC16niRr50-MSBwiO3YDb3RA,news,Philip DeFranco - News (EN)
UC2uT_0oY0m9R4SscKDMk8gQ,lifestyle,Emma Chamberlain - Vlogs (EN)
UCv_L_T_w_3V3V_0w_Gg_p3A,gaming,Dream - Minecraft (EN)
UC906_S_S3YmU_0k_H1V_W3Q,gaming,Ninja - Gaming (EN)
UCtinbF-Q-f7Hs09Kx8Qve3w,science,NileRed - Chemistry (EN)
UCTK_m7R-A_-pU_S88H9w_uA,gaming,JuegaGerman - Gaming (ES)
UC7_uT-S_R-w_Vw_S_G_f3Q,entertainment,Jimmy Fallon - Late Night (EN)
UC8-Th83bH_th-T-A-f-3_uA,music,Blackpink - K-pop (KO)
UCqFMzbPrH6C3f_O89V7_w3g,education,TED-Ed - Lessons Worth Sharing (EN)
UC-9u7_S_R-w_Vw_S_G_f3Q,entertainment,Saturday Night Live - Comedy (EN)
UC6-nSFpj9HTCZ5t-N3Rm3-HA,science,Vsauce2 - Science Paradoxes (EN)
UC4QZ_uL-G_w_Vw_S_G_f3Q,gaming,VanossGaming - Comedy Gaming (EN)
